GENESIS-Tabelle: 46251-0006
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz insgesamt;Krafträder insgesamt;Leichtkrafträder;Motorräder;Pkw insgesamt;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse insgesamt;Lkw insgesamt;Lkw mit Spezialaufbau;Zugmaschinen insgesamt;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger insgesamt;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2013;05112;Duisburg, kreisfreie Stadt;249346;18150;-;17797;217342;160717;51381;217;10588;416;2020;-;1453;567;1029;1254;19030;11948;2690
01.01.2013;05113;Essen, kreisfreie Stadt;307943;20612;-;20160;268827;196104;67534;406;15043;465;1665;-;602;1063;1390;1406;18897;11114;982
01.01.2013;05114;Krefeld, kreisfreie Stadt;123974;8287;-;8122;108683;77395;28365;157;5514;156;937;-;293;644;396;806;9266;5777;375
01.01.2013;05116;Mönchengladbach, kreisfreie Stadt;144428;9593;-;9362;125444;88218;34011;293;7394;284;1331;-;397;934;373;1031;11255;7280;511
01.01.2013;05117;Mülheim an der Ruhr, kreisfreie Stadt;99988;7053;-;6904;87794;64471;21834;79;4122;192;572;-;236;336;368;606;6489;3890;280
01.01.2013;05119;Oberhausen, kreisfreie Stadt;117575;8987;-;8798;102605;77995;22336;155;4930;139;490;-;273;217;408;631;7485;4380;348
01.01.2013;05120;Remscheid, kreisfreie Stadt;66305;5145;-;4985;57037;40979;15264;105;3144;125;639;-;241;398;235;446;4952;3320;368
01.01.2013;05122;Solingen, kreisfreie Stadt;95776;7769;-;7564;82889;60701;20685;116;4173;124;571;-;148;423;258;671;6894;4453;212
01.01.2013;05124;Wuppertal, kreisfreie Stadt;182132;15853;-;15410;156561;113731;40348;326;7543;335;1221;-;429;792;628;1157;11388;7085;512
01.01.2013;05154;Kleve, Landkreis;204682;14205;-;13737;171160;103347;58886;237;10308;344;7869;-;1132;6737;903;1948;29220;20293;1340
01.01.2013;05158;Mettmann, Landkreis;315845;23621;-;23100;272708;190048;78238;151;15299;451;3015;-;1059;1956;1051;2234;21777;13687;1669
01.01.2013;05162;Rhein-Kreis Neuss;291363;20563;-;20078;250055;172600;72557;306;15077;812;4347;-;1194;3153;1015;1718;21389;14252;1589
01.01.2013;05166;Viersen, Landkreis;201852;14743;-;14354;169888;114435;49371;258;10723;483;5149;-;1060;4089;1091;1632;23055;15213;1401
01.01.2013;05170;Wesel, Landkreis;305216;22745;-;22190;261425;183252;69345;547;12451;455;6683;-;1368;5315;1365;2289;34172;22663;2857
01.01.2013;05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;05314;Bonn, kreisfreie Stadt;218742;10286;-;10078;171027;98130;70862;275;35664;577;756;-;173;583;734;1074;9478;6015;401
01.01.2013;05315;Köln, kreisfreie Stadt;511906;34513;-;33794;445134;298983;139311;929;26226;809;2722;-;1479;1243;2382;3699;29686;17843;2702
01.01.2013;05316;Leverkusen, kreisfreie Stadt;93763;6755;-;6583;81844;58365;22093;210;3861;164;726;-;179;547;367;604;6354;3894;269
01.01.2013;05334;Städteregion Aachen, Landkreis;309498;22710;-;22165;266903;178989;81706;617;13402;480;4797;-;1223;3574;1069;2425;29897;20115;1507
01.01.2013;05354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;05358;Düren, Landkreis;173790;14069;-;13589;145519;100871;41530;344;7874;316;5173;-;639;4534;811;1380;21821;15693;896
01.01.2013;05362;Rhein-Erft-Kreis;295984;21711;-;21119;253895;179966;69710;349;14633;735;4241;-;1291;2950;1155;2157;24817;16514;1885
01.01.2013;05366;Euskirchen, Landkreis;135965;11105;-;10642;110824;73349;34902;206;6183;203;7070;-;501;6569;577;1073;20778;15522;745
01.01.2013;05370;Heinsberg, Landkreis;167964;12586;-;12172;141912;90412;45232;267;7915;226;4659;-;461;4198;625;1381;23615;17080;798
01.01.2013;05374;Oberbergischer Kreis;193364;14805;-;14117;161841;112217;46976;346;8152;265;7521;-;343;7178;699;1495;23291;17207;545
